,Image,Saccade Duration,Number of Fixations
0,1-Slide2.PNG,70.14285714285714,7
1,1-Slide3.PNG,52.166666666666664,6
2,1-Slide4.PNG,229.0,3
3,1-Slide5.PNG,33.0,1
4,1-Slide6.PNG,35.5,2
5,1-Slide7.PNG,60.5,2
6,1-Slide8.PNG,44.0,1
7,1-Slide9.PNG,27.0,1
8,1-Slide10.PNG,62.0,8
9,1-Slide11.PNG,30.0,4
10,1-Slide12.PNG,40.714285714285715,7
11,1-Slide13.PNG,45.0,5
12,1-Slide14.PNG,99.33333333333333,3
13,1-Slide15.PNG,45.875,8
14,1-Slide16.PNG,54.0,6
15,1-Slide17.PNG,51.5,8
16,1-Slide18.PNG,56.2,10
17,1-Slide19.PNG,56.666666666666664,3
18,1-Slide20.PNG,36.69230769230769,13
19,1-Slide21.PNG,23.4,10
20,1-Slide22.PNG,52.07692307692308,13
21,1-Slide23.PNG,45.78125,32
22,1-Slide24.PNG,86.375,8
23,1-Slide25.PNG,73.5,12
24,1-Slide26.PNG,47.5,6
25,1-Slide27.PNG,173.25,4
26,1-Slide28.PNG,55.625,8
27,1-Slide29.PNG,59.142857142857146,7
28,1-Slide30.PNG,73.9,10
29,1-Slide31.PNG,79.0,7
30,1-Slide32.PNG,50.333333333333336,6
31,1-Slide33.PNG,52.0,2
32,1-Slide34.PNG,21.5,2
33,1-Slide35.PNG,49.0,1
34,1-Slide36.PNG,56.714285714285715,7
35,1-Slide37.PNG,70.83333333333333,6
36,1-Slide38.PNG,47.5,8
37,1-Slide39.PNG,77.25,8
38,1-Slide40.PNG,80.42857142857143,7
