,Image,Saccade Duration,Number of Fixations
0,3-Slide2.PNG,30.88888888888889,9
1,3-Slide3.PNG,148.0,3
2,3-Slide4.PNG,23.333333333333332,3
3,3-Slide5.PNG,367.0,1
4,3-Slide6.PNG,129.33333333333334,3
5,3-Slide7.PNG,19.0,3
6,3-Slide8.PNG,41.0,1
7,3-Slide9.PNG,74.83333333333333,6
8,3-Slide10.PNG,91.5,8
9,3-Slide11.PNG,21.285714285714285,7
10,3-Slide12.PNG,40.5,4
11,3-Slide13.PNG,39.8,5
12,3-Slide14.PNG,21.0,2
13,3-Slide15.PNG,23.8,10
14,3-Slide16.PNG,36.857142857142854,7
15,3-Slide17.PNG,54.5,2
16,3-Slide18.PNG,22.75,4
17,3-Slide19.PNG,35.083333333333336,12
18,3-Slide20.PNG,26.0,2
19,3-Slide21.PNG,33.875,8
20,3-Slide22.PNG,38.42857142857143,7
21,3-Slide23.PNG,63.111111111111114,9
22,3-Slide24.PNG,89.0,2
23,3-Slide25.PNG,27.2,5
24,3-Slide26.PNG,23.11111111111111,9
25,3-Slide27.PNG,17.75,4
26,3-Slide28.PNG,136.5,2
27,3-Slide29.PNG,76.0,6
28,3-Slide30.PNG,31.166666666666668,6
29,3-Slide31.PNG,20.0,4
30,3-Slide32.PNG,143.0,4
31,3-Slide33.PNG,48.285714285714285,7
32,3-Slide34.PNG,44.0,8
33,3-Slide35.PNG,36.75,4
34,3-Slide36.PNG,30.2,5
35,3-Slide37.PNG,87.25,8
36,3-Slide38.PNG,55.666666666666664,3
37,3-Slide39.PNG,30.6,5
38,3-Slide40.PNG,71.75,4
39,3-Slide41.PNG,41.0,3
40,3-Slide42.PNG,86.66666666666667,3
41,3-Slide43.PNG,36.0,1
42,3-Slide44.PNG,95.0,1
43,3-Slide45.PNG,,0
44,3-Slide46.PNG,33.0,1
45,3-Slide47.PNG,76.45454545454545,11
46,3-Slide48.PNG,42.0,3
47,3-Slide49.PNG,,0
48,3-Slide50.PNG,55.5,4
49,3-Slide51.PNG,74.33333333333333,9
50,3-Slide52.PNG,43.0,3
51,3-Slide53.PNG,30.2,5
52,3-Slide54.PNG,,0
53,3-Slide55.PNG,32.0,4
54,3-Slide56.PNG,51.0,2
55,3-Slide57.PNG,37.2,5
56,3-Slide58.PNG,58.111111111111114,9
57,3-Slide59.PNG,54.0,6
58,3-Slide60.PNG,37.06666666666667,15
59,3-Slide61.PNG,26.25,4
