,Image,Saccade Duration,Number of Fixations
0,2-Slide2.PNG,90.3125,16
1,2-Slide3.PNG,85.83333333333333,12
2,2-Slide4.PNG,111.36363636363636,11
3,2-Slide5.PNG,85.3125,16
4,2-Slide6.PNG,167.46153846153845,13
5,2-Slide7.PNG,84.2,10
6,2-Slide8.PNG,117.0,13
7,2-Slide9.PNG,73.25,16
8,2-Slide10.PNG,103.625,8
9,2-Slide11.PNG,108.0,11
10,2-Slide12.PNG,131.625,8
11,2-Slide13.PNG,159.0,8
12,2-Slide14.PNG,90.25,8
13,2-Slide15.PNG,104.625,8
14,2-Slide16.PNG,77.5,18
15,2-Slide17.PNG,93.22222222222223,18
16,2-Slide18.PNG,108.33333333333333,12
17,2-Slide19.PNG,98.63636363636364,11
18,2-Slide20.PNG,112.1,10
19,2-Slide21.PNG,90.16666666666667,12
20,2-Slide22.PNG,114.1,10
21,2-Slide23.PNG,103.92857142857143,14
22,2-Slide24.PNG,53.333333333333336,9
23,2-Slide25.PNG,100.08333333333333,12
24,2-Slide26.PNG,68.0909090909091,11
25,2-Slide27.PNG,76.41666666666667,12
26,2-Slide28.PNG,81.25,12
27,2-Slide29.PNG,111.0,14
28,2-Slide30.PNG,68.33333333333333,15
29,2-Slide31.PNG,84.61538461538461,13
