,Image,Saccade Duration,Number of Fixations
0,1-Slide2.PNG,18.0,3
1,1-Slide3.PNG,29.0,4
2,1-Slide4.PNG,41.333333333333336,6
3,1-Slide5.PNG,43.370370370370374,27
4,1-Slide6.PNG,41.5,10
5,1-Slide7.PNG,37.142857142857146,7
6,1-Slide8.PNG,63.10526315789474,19
7,1-Slide9.PNG,17.0,4
8,1-Slide10.PNG,54.714285714285715,7
9,1-Slide11.PNG,28.166666666666668,6
10,1-Slide12.PNG,73.85714285714286,7
11,1-Slide13.PNG,44.078947368421055,38
12,1-Slide14.PNG,52.44444444444444,9
13,1-Slide15.PNG,31.4,5
14,1-Slide16.PNG,40.0,6
15,1-Slide17.PNG,17.666666666666668,6
16,1-Slide18.PNG,25.333333333333332,6
17,1-Slide19.PNG,34.57142857142857,7
18,1-Slide20.PNG,31.8,10
19,1-Slide21.PNG,38.8,10
20,1-Slide22.PNG,51.25,4
21,1-Slide23.PNG,51.6875,16
22,1-Slide24.PNG,191.0,4
23,1-Slide25.PNG,29.272727272727273,11
24,1-Slide26.PNG,45.62068965517241,29
25,1-Slide27.PNG,68.25,4
26,1-Slide28.PNG,73.42857142857143,7
27,1-Slide29.PNG,41.888888888888886,9
28,1-Slide30.PNG,30.11111111111111,9
29,1-Slide31.PNG,47.16,25
30,1-Slide32.PNG,33.666666666666664,6
31,1-Slide33.PNG,36.0,6
32,1-Slide34.PNG,50.0,4
33,1-Slide35.PNG,53.38709677419355,31
34,1-Slide36.PNG,37.111111111111114,9
35,1-Slide37.PNG,31.90909090909091,11
36,1-Slide38.PNG,50.54545454545455,11
37,1-Slide39.PNG,57.888888888888886,9
38,1-Slide40.PNG,39.15384615384615,13
