,Image,Saccade Duration,Number of Fixations
0,3-Slide2.PNG,,0
1,3-Slide3.PNG,,0
2,3-Slide4.PNG,112.8,5
3,3-Slide5.PNG,,0
4,3-Slide6.PNG,60.0,2
5,3-Slide7.PNG,24.0,1
6,3-Slide8.PNG,,0
7,3-Slide9.PNG,18.0,1
8,3-Slide10.PNG,134.66666666666666,3
9,3-Slide11.PNG,27.0,1
10,3-Slide12.PNG,19.0,2
11,3-Slide13.PNG,113.5,2
12,3-Slide14.PNG,44.0,3
13,3-Slide15.PNG,16.0,1
14,3-Slide16.PNG,111.0,1
15,3-Slide17.PNG,,0
16,3-Slide18.PNG,,0
17,3-Slide19.PNG,22.0,1
18,3-Slide20.PNG,,0
19,3-Slide21.PNG,16.0,1
20,3-Slide22.PNG,,0
21,3-Slide23.PNG,,0
22,3-Slide24.PNG,,0
23,3-Slide25.PNG,,0
24,3-Slide26.PNG,,0
25,3-Slide27.PNG,,0
26,3-Slide28.PNG,177.0,1
27,3-Slide29.PNG,66.5,2
28,3-Slide30.PNG,,0
29,3-Slide31.PNG,70.25,4
30,3-Slide32.PNG,,0
31,3-Slide33.PNG,14.0,1
32,3-Slide34.PNG,,0
33,3-Slide35.PNG,181.0,1
34,3-Slide36.PNG,188.0,2
35,3-Slide37.PNG,30.0,2
36,3-Slide38.PNG,30.0,2
37,3-Slide39.PNG,102.25,4
38,3-Slide40.PNG,118.0,3
39,3-Slide41.PNG,116.0,2
40,3-Slide42.PNG,16.0,1
41,3-Slide43.PNG,,0
42,3-Slide44.PNG,,0
43,3-Slide45.PNG,71.0,1
44,3-Slide46.PNG,,0
45,3-Slide47.PNG,,0
46,3-Slide48.PNG,16.0,1
47,3-Slide49.PNG,,0
48,3-Slide50.PNG,,0
49,3-Slide51.PNG,,0
50,3-Slide54.PNG,,0
51,3-Slide55.PNG,72.0,1
52,3-Slide56.PNG,23.2,5
53,3-Slide57.PNG,55.666666666666664,3
54,3-Slide58.PNG,138.5,2
55,3-Slide59.PNG,90.2,5
56,3-Slide60.PNG,17.0,4
57,3-Slide61.PNG,24.333333333333332,3
