,Image,Saccade Duration,Number of Fixations
0,3-Slide2.PNG,46.714285714285715,14
1,3-Slide3.PNG,60.5,4
2,3-Slide4.PNG,47.2,5
3,3-Slide5.PNG,33.0,8
4,3-Slide6.PNG,21.5,2
5,3-Slide7.PNG,57.875,8
6,3-Slide8.PNG,53.333333333333336,3
7,3-Slide9.PNG,305.0,3
8,3-Slide10.PNG,36.5,6
9,3-Slide11.PNG,68.75,4
10,3-Slide12.PNG,62.5,6
11,3-Slide13.PNG,103.16666666666667,6
12,3-Slide14.PNG,112.5,6
13,3-Slide15.PNG,72.25,8
14,3-Slide16.PNG,56.44444444444444,9
15,3-Slide17.PNG,40.6,5
16,3-Slide18.PNG,47.857142857142854,7
17,3-Slide19.PNG,106.375,8
18,3-Slide20.PNG,45.714285714285715,7
19,3-Slide21.PNG,67.88888888888889,9
20,3-Slide22.PNG,65.8,10
21,3-Slide23.PNG,52.55555555555556,9
22,3-Slide24.PNG,23.666666666666668,3
23,3-Slide25.PNG,58.285714285714285,7
24,3-Slide26.PNG,79.5,8
25,3-Slide27.PNG,70.375,8
26,3-Slide28.PNG,,0
27,3-Slide29.PNG,74.58333333333333,12
28,3-Slide30.PNG,46.333333333333336,9
29,3-Slide31.PNG,38.5,2
30,3-Slide32.PNG,,0
31,3-Slide33.PNG,74.25,4
32,3-Slide34.PNG,45.25,8
33,3-Slide35.PNG,138.5,2
34,3-Slide36.PNG,56.0,10
35,3-Slide37.PNG,29.333333333333332,6
36,3-Slide38.PNG,109.66666666666667,6
37,3-Slide39.PNG,62.333333333333336,6
38,3-Slide40.PNG,57.0,3
39,3-Slide41.PNG,108.0,2
40,3-Slide42.PNG,109.0,3
41,3-Slide43.PNG,73.5,4
42,3-Slide44.PNG,38.5,2
43,3-Slide45.PNG,29.0,3
44,3-Slide46.PNG,38.57142857142857,7
45,3-Slide47.PNG,42.48148148148148,27
46,3-Slide48.PNG,79.5,8
47,3-Slide49.PNG,127.0,1
48,3-Slide50.PNG,109.88888888888889,9
49,3-Slide51.PNG,85.5,2
50,3-Slide52.PNG,27.0,1
51,3-Slide53.PNG,112.33333333333333,3
52,3-Slide54.PNG,76.88888888888889,9
53,3-Slide55.PNG,80.6,5
54,3-Slide56.PNG,60.25,4
55,3-Slide57.PNG,90.33333333333333,3
56,3-Slide58.PNG,33.25,8
57,3-Slide59.PNG,32.75,4
58,3-Slide60.PNG,96.2,5
59,3-Slide61.PNG,39.75,4
